,Topics,Sub Topic,Type,Difficulty,Project Type,Workers
76,NLP,Named Entity Recognition,S2,23,ML,Christopher Kristianto
77,NLP,Named Entity Recognition,S2,23,ML,Sarah Sema Khairunisa
78,NLP,Named Entity Recognition,S2,23,ML,Suci Rahmadani
79,NLP,Named Entity Recognition,S2,23,ML,Farel Eden
80,NLP,Named Entity Recognition,S2,23,ML,Azis Sofyanto
81,Classification & Regression,Gradient Boosting,S1,14,ML,Suci Rahmadani
82,Classification & Regression,Gradient Boosting,S1,14,ML,Nyoman Satiya Najwa Sadha
83,Classification & Regression,Gradient Boosting,S1,14,ML,Gabriel Kheisa
84,Classification & Regression,Gradient Boosting,S1,14,ML,Andhika Zulfikri
85,Data Engineering,ETL,S1,20,ML,Rikip Ginanjar
86,Data Engineering,ETL,S1,20,ML,Bagja Kurniadi
87,Data Engineering,ETL,S1,20,ML,Sarah Sema Khairunisa
88,Data Engineering,ETL,S1,20,ML,Farel Eden
89,Data Engineering,ETL,S1,20,ML,Suci Rahmadani
90,Computer Vision,Face Recognition,S1,25,ML,Azis Sofyanto
91,Computer Vision,Face Recognition,S1,25,ML,Nyoman Satiya Najwa Sadha
92,Computer Vision,Face Recognition,S1,25,ML,Suci Rahmadani
93,Computer Vision,Face Recognition,S1,25,ML,Sarah Sema Khairunisa
94,Computer Vision,Face Recognition,S1,25,ML,Bagja Kurniadi
95,Computer Vision,Image Segmentation,S1,14,ML,Putu Gede Agung Karna Sampalan
96,Computer Vision,Image Segmentation,S1,14,ML,Nyoman Satiya Najwa Sadha
97,Computer Vision,Image Segmentation,S1,14,ML,Christopher Kristianto
98,Computer Vision,Image Segmentation,S1,14,ML,Azis Sofyanto
99,Front End,Vue.js,S1,18,Frontend,Abiyyu Diora Haqi
100,Front End,Vue.js,S1,18,Frontend,Imam
101,Front End,Vue.js,S1,18,Frontend,Muhammad Raden Syawali Akbar
102,Front End,Vue.js,S1,18,Frontend,Andi Rezal Oktavianto
103,Front End,Vue.js,S1,18,Frontend,Iga Narendra Pramawijaya
104,Computer Vision,Image Segmentation,S1,22,ML,Nyoman Satiya Najwa Sadha
105,Computer Vision,Image Segmentation,S1,22,ML,Alvin Tan
106,Computer Vision,Image Segmentation,S1,22,ML,Sarah Sema Khairunisa
107,Computer Vision,Image Segmentation,S1,22,ML,Farel Eden
108,Computer Vision,Image Segmentation,S1,22,ML,Putu Gede Agung Karna Sampalan
109,Time-series,LSTM,S2,14,ML,Azis Sofyanto
110,Time-series,LSTM,S2,14,ML,Alvin Tan
111,Time-series,LSTM,S2,14,ML,Andhika Zulfikri
112,Time-series,LSTM,S2,14,ML,Putu Gede Agung Karna Sampalan
113,NLP,Topic Modeling,S1,5,ML,I Putu Ranantha Nugraha Suparta
114,NLP,Topic Modeling,S1,5,ML,Christopher Kristianto
115,Time-series,ARIMA,S1,13,ML,Christopher Kristianto
116,Time-series,ARIMA,S1,13,ML,Alvin Tan
117,Time-series,ARIMA,S1,13,ML,Sarah Sema Khairunisa
118,Time-series,ARIMA,S1,13,ML,Suci Rahmadani
119,Back End,Node.js,S3,8,Backend,Sandrian Yulianto
120,Back End,Node.js,S3,8,Backend,Chairul Rizqi
121,Back End,Node.js,S3,22,Backend,Sandrian Yulianto
122,Back End,Node.js,S3,22,Backend,Vania Kylie
123,Back End,Node.js,S3,22,Backend,Wahyu Fauzan
124,Back End,Node.js,S3,22,Backend,Chairul Rizqi
125,Back End,Node.js,S3,22,Backend,Abdullah Nur Hudi
126,Time-series,LSTM,S3,11,ML,Azis Sofyanto
127,Time-series,LSTM,S3,11,ML,I Putu Ranantha Nugraha Suparta
128,Time-series,LSTM,S3,11,ML,Sarah Sema Khairunisa
129,Time-series,LSTM,S3,11,ML,Suci Rahmadani
130,Front End,Angular,S3,17,Frontend,Abiyyu Diora Haqi
131,Front End,Angular,S3,17,Frontend,Imam
132,Front End,Angular,S3,17,Frontend,Iga Narendra Pramawijaya
133,Front End,Angular,S3,17,Frontend,Muhammad Raden Syawali Akbar
134,Front End,Angular,S3,17,Frontend,Andi Rezal Oktavianto
135,Time-series,LSTM,S2,10,ML,Alvin Tan
136,Time-series,LSTM,S2,10,ML,Gabriel Kheisa
137,Time-series,LSTM,S2,10,ML,I Putu Ranantha Nugraha Suparta
138,Time-series,LSTM,S2,10,ML,Andhika Zulfikri
139,Front End,Vue.js,S1,20,Frontend,Andi Rezal Oktavianto
140,Front End,Vue.js,S1,20,Frontend,Iga Narendra Pramawijaya
141,Front End,Vue.js,S1,20,Frontend,Abiyyu Diora Haqi
142,Front End,Vue.js,S1,20,Frontend,Imam
143,Front End,Vue.js,S1,20,Frontend,Muhammad Raden Syawali Akbar
144,Speech / Audio,Audio Signal Processing,S2,27,ML,Azis Sofyanto
145,Speech / Audio,Audio Signal Processing,S2,27,ML,Sarah Sema Khairunisa
146,Speech / Audio,Audio Signal Processing,S2,27,ML,Andhika Zulfikri
147,Speech / Audio,Audio Signal Processing,S2,27,ML,Alvin Tan
148,Speech / Audio,Audio Signal Processing,S2,27,ML,Nyoman Satiya Najwa Sadha
149,Time-series,ARIMA,S2,12,ML,Azis Sofyanto
150,Time-series,ARIMA,S2,12,ML,I Putu Ranantha Nugraha Suparta
151,Time-series,ARIMA,S2,12,ML,Bagja Kurniadi
152,Time-series,ARIMA,S2,12,ML,Alvin Tan
153,NLP,Text Classification,S3,15,ML,Rikip Ginanjar
154,NLP,Text Classification,S3,15,ML,Azis Sofyanto
155,NLP,Text Classification,S3,15,ML,Putu Gede Agung Karna Sampalan
156,NLP,Text Classification,S3,15,ML,Sarah Sema Khairunisa
157,NLP,Text Classification,S3,15,ML,Farel Eden
158,Data Engineering,Data Lake,S3,7,ML,Nyoman Satiya Najwa Sadha
159,Data Engineering,Data Lake,S3,7,ML,Christopher Kristianto
160,Front End,React,S1,25,Frontend,Imam
161,Front End,React,S1,25,Frontend,Muhammad Raden Syawali Akbar
162,Front End,React,S1,25,Frontend,Abiyyu Diora Haqi
163,Front End,React,S1,25,Frontend,Andi Rezal Oktavianto
164,Front End,React,S1,25,Frontend,Iga Narendra Pramawijaya
165,NLP,Topic Modeling,S2,23,ML,Rikip Ginanjar
166,NLP,Topic Modeling,S2,23,ML,Andhika Zulfikri
167,NLP,Topic Modeling,S2,23,ML,Putu Gede Agung Karna Sampalan
168,NLP,Topic Modeling,S2,23,ML,Sarah Sema Khairunisa
169,NLP,Topic Modeling,S2,23,ML,Christopher Kristianto
170,Classification & Regression,Gradient Boosting,S1,13,ML,Nyoman Satiya Najwa Sadha
171,Classification & Regression,Gradient Boosting,S1,13,ML,Gabriel Kheisa
172,Classification & Regression,Gradient Boosting,S1,13,ML,Putu Gede Agung Karna Sampalan
173,Classification & Regression,Gradient Boosting,S1,13,ML,Azis Sofyanto
174,Computer Vision,Image Segmentation,S2,5,ML,Putu Gede Agung Karna Sampalan
175,Computer Vision,Image Segmentation,S2,5,ML,Azis Sofyanto
176,NLP,Named Entity Recognition,S1,13,ML,Sarah Sema Khairunisa
177,NLP,Named Entity Recognition,S1,13,ML,Christopher Kristianto
178,NLP,Named Entity Recognition,S1,13,ML,Suci Rahmadani
179,NLP,Named Entity Recognition,S1,13,ML,Bagja Kurniadi
180,Computer Vision,Optical Character Recognition,S1,18,ML,Nyoman Satiya Najwa Sadha
181,Computer Vision,Optical Character Recognition,S1,18,ML,Putu Gede Agung Karna Sampalan
182,Computer Vision,Optical Character Recognition,S1,18,ML,Suci Rahmadani
183,Computer Vision,Optical Character Recognition,S1,18,ML,I Putu Ranantha Nugraha Suparta
184,Computer Vision,Optical Character Recognition,S1,18,ML,Farel Eden
185,Classification & Regression,Gradient Boosting,S3,6,ML,Christopher Kristianto
186,Classification & Regression,Gradient Boosting,S3,6,ML,Azis Sofyanto
187,NLP,Named Entity Recognition,S3,7,ML,Suci Rahmadani
188,NLP,Named Entity Recognition,S3,7,ML,Nyoman Satiya Najwa Sadha
189,NLP,Text Classification,S3,7,ML,Rikip Ginanjar
190,NLP,Text Classification,S3,7,ML,Sarah Sema Khairunisa
191,Classification & Regression,Gradient Boosting,S2,19,ML,Rikip Ginanjar
192,Classification & Regression,Gradient Boosting,S2,19,ML,Bagja Kurniadi
193,Classification & Regression,Gradient Boosting,S2,19,ML,Sarah Sema Khairunisa
194,Classification & Regression,Gradient Boosting,S2,19,ML,Christopher Kristianto
195,Classification & Regression,Gradient Boosting,S2,19,ML,Putu Gede Agung Karna Sampalan
196,Time-series,LSTM,S2,25,ML,Rikip Ginanjar
197,Time-series,LSTM,S2,25,ML,Suci Rahmadani
198,Time-series,LSTM,S2,25,ML,Gabriel Kheisa
199,Time-series,LSTM,S2,25,ML,Sarah Sema Khairunisa
200,Time-series,LSTM,S2,25,ML,Christopher Kristianto
201,Time-series,LSTM,S2,24,ML,Bagja Kurniadi
202,Time-series,LSTM,S2,24,ML,Andhika Zulfikri
203,Time-series,LSTM,S2,24,ML,Alvin Tan
204,Time-series,LSTM,S2,24,ML,Suci Rahmadani
205,Time-series,LSTM,S2,24,ML,Gabriel Kheisa
206,Classification & Regression,Gradient Boosting,S2,16,ML,Putu Gede Agung Karna Sampalan
207,Classification & Regression,Gradient Boosting,S2,16,ML,Farel Eden
208,Classification & Regression,Gradient Boosting,S2,16,ML,I Putu Ranantha Nugraha Suparta
209,Classification & Regression,Gradient Boosting,S2,16,ML,Gabriel Kheisa
210,Classification & Regression,Gradient Boosting,S2,16,ML,Rikip Ginanjar
211,Speech / Audio,Speaker Recognition,S3,9,ML,Gabriel Kheisa
212,Speech / Audio,Speaker Recognition,S3,9,ML,Putu Gede Agung Karna Sampalan
213,Back End,Node.js,S1,14,Backend,Vania Kylie
214,Back End,Node.js,S1,14,Backend,Chairul Rizqi
215,Back End,Node.js,S1,14,Backend,Sandrian Yulianto
216,Back End,Node.js,S1,14,Backend,Wahyu Fauzan
217,Classification & Regression,Random Forest,S1,14,ML,Gabriel Kheisa
218,Classification & Regression,Random Forest,S1,14,ML,Putu Gede Agung Karna Sampalan
219,Classification & Regression,Random Forest,S1,14,ML,I Putu Ranantha Nugraha Suparta
220,Classification & Regression,Random Forest,S1,14,ML,Sarah Sema Khairunisa
221,Front End,Vue.js,S3,5,Frontend,Iga Narendra Pramawijaya
222,Front End,Vue.js,S3,5,Frontend,Imam
223,Data Engineering,Data Lake,S1,25,ML,Azis Sofyanto
224,Data Engineering,Data Lake,S1,25,ML,Suci Rahmadani
225,Data Engineering,Data Lake,S1,25,ML,I Putu Ranantha Nugraha Suparta
226,Data Engineering,Data Lake,S1,25,ML,Bagja Kurniadi
227,Data Engineering,Data Lake,S1,25,ML,Nyoman Satiya Najwa Sadha
228,Back End,Django,S2,17,Backend,Chairul Rizqi
229,Back End,Django,S2,17,Backend,Abdullah Nur Hudi
230,Back End,Django,S2,17,Backend,Wahyu Fauzan
231,Back End,Django,S2,17,Backend,Sandrian Yulianto
232,Back End,Django,S2,17,Backend,Vania Kylie
233,Data Engineering,ETL,S1,13,ML,Andhika Zulfikri
234,Data Engineering,ETL,S1,13,ML,Nyoman Satiya Najwa Sadha
235,Data Engineering,ETL,S1,13,ML,Christopher Kristianto
236,Data Engineering,ETL,S1,13,ML,Putu Gede Agung Karna Sampalan
237,Computer Vision,Image Segmentation,S2,27,ML,Bagja Kurniadi
238,Computer Vision,Image Segmentation,S2,27,ML,Nyoman Satiya Najwa Sadha
239,Computer Vision,Image Segmentation,S2,27,ML,Farel Eden
240,Computer Vision,Image Segmentation,S2,27,ML,Gabriel Kheisa
241,Computer Vision,Image Segmentation,S2,27,ML,I Putu Ranantha Nugraha Suparta
242,Data Engineering,Data Warehousing,S3,14,ML,Alvin Tan
243,Data Engineering,Data Warehousing,S3,14,ML,Gabriel Kheisa
244,Data Engineering,Data Warehousing,S3,14,ML,Sarah Sema Khairunisa
245,Data Engineering,Data Warehousing,S3,14,ML,Suci Rahmadani
246,Time-series,LSTM,S1,25,ML,Rikip Ginanjar
247,Time-series,LSTM,S1,25,ML,Farel Eden
248,Time-series,LSTM,S1,25,ML,Alvin Tan
249,Time-series,LSTM,S1,25,ML,Christopher Kristianto
250,Time-series,LSTM,S1,25,ML,I Putu Ranantha Nugraha Suparta
251,Computer Vision,Face Recognition,S2,14,ML,Farel Eden
252,Computer Vision,Face Recognition,S2,14,ML,Gabriel Kheisa
253,Computer Vision,Face Recognition,S2,14,ML,Nyoman Satiya Najwa Sadha
254,Computer Vision,Face Recognition,S2,14,ML,Christopher Kristianto
255,Speech / Audio,Speech Recognition,S2,16,ML,Nyoman Satiya Najwa Sadha
256,Speech / Audio,Speech Recognition,S2,16,ML,Suci Rahmadani
257,Speech / Audio,Speech Recognition,S2,16,ML,Azis Sofyanto
258,Speech / Audio,Speech Recognition,S2,16,ML,Bagja Kurniadi
259,Speech / Audio,Speech Recognition,S2,16,ML,Rikip Ginanjar
260,Computer Vision,Image Segmentation,S2,29,ML,Alvin Tan
261,Computer Vision,Image Segmentation,S2,29,ML,Rikip Ginanjar
262,Computer Vision,Image Segmentation,S2,29,ML,Nyoman Satiya Najwa Sadha
263,Computer Vision,Image Segmentation,S2,29,ML,Putu Gede Agung Karna Sampalan
264,Computer Vision,Image Segmentation,S2,29,ML,Farel Eden
265,Data Engineering,Data Lake,S1,18,ML,Putu Gede Agung Karna Sampalan
266,Data Engineering,Data Lake,S1,18,ML,Alvin Tan
267,Data Engineering,Data Lake,S1,18,ML,Gabriel Kheisa
268,Data Engineering,Data Lake,S1,18,ML,Nyoman Satiya Najwa Sadha
269,Data Engineering,Data Lake,S1,18,ML,Christopher Kristianto
270,Computer Vision,Object Detection,S3,26,ML,Andhika Zulfikri
271,Computer Vision,Object Detection,S3,26,ML,Sarah Sema Khairunisa
272,Computer Vision,Object Detection,S3,26,ML,Christopher Kristianto
273,Computer Vision,Object Detection,S3,26,ML,Bagja Kurniadi
274,Computer Vision,Object Detection,S3,26,ML,Rikip Ginanjar
275,Computer Vision,Optical Character Recognition,S3,5,ML,Nyoman Satiya Najwa Sadha
276,Computer Vision,Optical Character Recognition,S3,5,ML,Bagja Kurniadi
277,NLP,Topic Modeling,S3,23,ML,Andhika Zulfikri
278,NLP,Topic Modeling,S3,23,ML,I Putu Ranantha Nugraha Suparta
279,NLP,Topic Modeling,S3,23,ML,Bagja Kurniadi
280,NLP,Topic Modeling,S3,23,ML,Gabriel Kheisa
281,NLP,Topic Modeling,S3,23,ML,Suci Rahmadani
282,Data Engineering,ETL,S2,17,ML,Azis Sofyanto
283,Data Engineering,ETL,S2,17,ML,Sarah Sema Khairunisa
284,Data Engineering,ETL,S2,17,ML,Suci Rahmadani
285,Data Engineering,ETL,S2,17,ML,Nyoman Satiya Najwa Sadha
286,Data Engineering,ETL,S2,17,ML,Farel Eden
287,NLP,Text Classification,S3,18,ML,Gabriel Kheisa
288,NLP,Text Classification,S3,18,ML,Bagja Kurniadi
289,NLP,Text Classification,S3,18,ML,Andhika Zulfikri
290,NLP,Text Classification,S3,18,ML,Suci Rahmadani
291,NLP,Text Classification,S3,18,ML,Alvin Tan
292,NLP,Topic Modeling,S2,10,ML,Nyoman Satiya Najwa Sadha
293,NLP,Topic Modeling,S2,10,ML,Gabriel Kheisa
294,NLP,Topic Modeling,S2,10,ML,I Putu Ranantha Nugraha Suparta
295,NLP,Topic Modeling,S2,10,ML,Alvin Tan
296,NLP,Topic Modeling,S3,26,ML,Christopher Kristianto
297,NLP,Topic Modeling,S3,26,ML,Suci Rahmadani
298,NLP,Topic Modeling,S3,26,ML,Farel Eden
299,NLP,Topic Modeling,S3,26,ML,Alvin Tan
300,NLP,Topic Modeling,S3,26,ML,Putu Gede Agung Karna Sampalan
301,NLP,Text Classification,S2,15,ML,Sarah Sema Khairunisa
302,NLP,Text Classification,S2,15,ML,Andhika Zulfikri
303,NLP,Text Classification,S2,15,ML,Rikip Ginanjar
304,NLP,Text Classification,S2,15,ML,Alvin Tan
305,NLP,Text Classification,S2,15,ML,Azis Sofyanto
306,Speech / Audio,Speaker Recognition,S1,8,ML,Sarah Sema Khairunisa
307,Speech / Audio,Speaker Recognition,S1,8,ML,Bagja Kurniadi
308,Time-series,LSTM,S2,13,ML,Christopher Kristianto
309,Time-series,LSTM,S2,13,ML,Rikip Ginanjar
310,Time-series,LSTM,S2,13,ML,Alvin Tan
311,Time-series,LSTM,S2,13,ML,Suci Rahmadani
312,Classification & Regression,Logistic Regression,S2,23,ML,Farel Eden
313,Classification & Regression,Logistic Regression,S2,23,ML,Bagja Kurniadi
314,Classification & Regression,Logistic Regression,S2,23,ML,Rikip Ginanjar
315,Classification & Regression,Logistic Regression,S2,23,ML,Azis Sofyanto
316,Classification & Regression,Logistic Regression,S2,23,ML,Suci Rahmadani
317,Back End,Express.js,S2,9,Backend,Sandrian Yulianto
318,Back End,Express.js,S2,9,Backend,Vania Kylie
319,Time-series,LSTM,S3,12,ML,Bagja Kurniadi
320,Time-series,LSTM,S3,12,ML,I Putu Ranantha Nugraha Suparta
321,Time-series,LSTM,S3,12,ML,Rikip Ginanjar
322,Time-series,LSTM,S3,12,ML,Azis Sofyanto
323,Front End,Angular,S2,29,Frontend,Imam
324,Front End,Angular,S2,29,Frontend,Andi Rezal Oktavianto
325,Front End,Angular,S2,29,Frontend,Abiyyu Diora Haqi
326,Front End,Angular,S2,29,Frontend,Iga Narendra Pramawijaya
327,Front End,Angular,S2,29,Frontend,Muhammad Raden Syawali Akbar
328,Front End,Angular,S3,16,Frontend,Iga Narendra Pramawijaya
329,Front End,Angular,S3,16,Frontend,Muhammad Raden Syawali Akbar
330,Front End,Angular,S3,16,Frontend,Imam
331,Front End,Angular,S3,16,Frontend,Abiyyu Diora Haqi
332,Front End,Angular,S3,16,Frontend,Andi Rezal Oktavianto
333,Front End,React,S2,14,Frontend,Muhammad Raden Syawali Akbar
334,Front End,React,S2,14,Frontend,Andi Rezal Oktavianto
335,Front End,React,S2,14,Frontend,Abiyyu Diora Haqi
336,Front End,React,S2,14,Frontend,Iga Narendra Pramawijaya
337,Front End,Angular,S2,29,Frontend,Abiyyu Diora Haqi
338,Front End,Angular,S2,29,Frontend,Muhammad Raden Syawali Akbar
339,Front End,Angular,S2,29,Frontend,Iga Narendra Pramawijaya
340,Front End,Angular,S2,29,Frontend,Imam
341,Front End,Angular,S2,29,Frontend,Andi Rezal Oktavianto
342,Computer Vision,Optical Character Recognition,S1,13,ML,Andhika Zulfikri
343,Computer Vision,Optical Character Recognition,S1,13,ML,Alvin Tan
344,Computer Vision,Optical Character Recognition,S1,13,ML,I Putu Ranantha Nugraha Suparta
345,Computer Vision,Optical Character Recognition,S1,13,ML,Suci Rahmadani
346,Classification & Regression,Random Forest,S3,20,ML,Christopher Kristianto
347,Classification & Regression,Random Forest,S3,20,ML,Rikip Ginanjar
348,Classification & Regression,Random Forest,S3,20,ML,Farel Eden
349,Classification & Regression,Random Forest,S3,20,ML,Azis Sofyanto
350,Classification & Regression,Random Forest,S3,20,ML,Sarah Sema Khairunisa
351,Computer Vision,Image Segmentation,S2,18,ML,Suci Rahmadani
352,Computer Vision,Image Segmentation,S2,18,ML,Azis Sofyanto
353,Computer Vision,Image Segmentation,S2,18,ML,Andhika Zulfikri
354,Computer Vision,Image Segmentation,S2,18,ML,Gabriel Kheisa
355,Computer Vision,Image Segmentation,S2,18,ML,Sarah Sema Khairunisa
356,Speech / Audio,Speech Recognition,S1,29,ML,Sarah Sema Khairunisa
357,Speech / Audio,Speech Recognition,S1,29,ML,Putu Gede Agung Karna Sampalan
358,Speech / Audio,Speech Recognition,S1,29,ML,Suci Rahmadani
359,Speech / Audio,Speech Recognition,S1,29,ML,Nyoman Satiya Najwa Sadha
360,Speech / Audio,Speech Recognition,S1,29,ML,Bagja Kurniadi
361,Front End,Vue.js,S2,6,Frontend,Imam
362,Front End,Vue.js,S2,6,Frontend,Andi Rezal Oktavianto
363,Time-series,ARIMA,S2,14,ML,Alvin Tan
364,Time-series,ARIMA,S2,14,ML,Andhika Zulfikri
365,Time-series,ARIMA,S2,14,ML,I Putu Ranantha Nugraha Suparta
366,Time-series,ARIMA,S2,14,ML,Christopher Kristianto
367,Time-series,ARIMA,S3,21,ML,Farel Eden
368,Time-series,ARIMA,S3,21,ML,Sarah Sema Khairunisa
369,Time-series,ARIMA,S3,21,ML,Azis Sofyanto
370,Time-series,ARIMA,S3,21,ML,Andhika Zulfikri
371,Time-series,ARIMA,S3,21,ML,Alvin Tan
372,Time-series,LSTM,S1,17,ML,Suci Rahmadani
373,Time-series,LSTM,S1,17,ML,Rikip Ginanjar
374,Time-series,LSTM,S1,17,ML,Alvin Tan
375,Time-series,LSTM,S1,17,ML,Azis Sofyanto
376,Time-series,LSTM,S1,17,ML,Nyoman Satiya Najwa Sadha
377,Classification & Regression,Linear Regression,S3,5,ML,Nyoman Satiya Najwa Sadha
378,Classification & Regression,Linear Regression,S3,5,ML,I Putu Ranantha Nugraha Suparta
379,Time-series,ARIMA,S3,6,ML,Nyoman Satiya Najwa Sadha
380,Time-series,ARIMA,S3,6,ML,Putu Gede Agung Karna Sampalan
381,Back End,Django,S1,29,Backend,Chairul Rizqi
382,Back End,Django,S1,29,Backend,Abdullah Nur Hudi
383,Back End,Django,S1,29,Backend,Vania Kylie
384,Back End,Django,S1,29,Backend,Sandrian Yulianto
385,Back End,Django,S1,29,Backend,Wahyu Fauzan
386,Back End,Flask,S3,23,Backend,Chairul Rizqi
387,Back End,Flask,S3,23,Backend,Sandrian Yulianto
388,Back End,Flask,S3,23,Backend,Wahyu Fauzan
389,Back End,Flask,S3,23,Backend,Abdullah Nur Hudi
390,Back End,Flask,S3,23,Backend,Vania Kylie
391,Back End,Flask,S3,20,Backend,Sandrian Yulianto
392,Back End,Flask,S3,20,Backend,Wahyu Fauzan
393,Back End,Flask,S3,20,Backend,Chairul Rizqi
394,Back End,Flask,S3,20,Backend,Vania Kylie
395,Back End,Flask,S3,20,Backend,Abdullah Nur Hudi
396,Speech / Audio,Speaker Recognition,S3,27,ML,Nyoman Satiya Najwa Sadha
397,Speech / Audio,Speaker Recognition,S3,27,ML,Putu Gede Agung Karna Sampalan
398,Speech / Audio,Speaker Recognition,S3,27,ML,Alvin Tan
399,Speech / Audio,Speaker Recognition,S3,27,ML,Azis Sofyanto
400,Speech / Audio,Speaker Recognition,S3,27,ML,Rikip Ginanjar
